"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"746ZVUM9","journalArticle","2017","Ooi, C.-A.; Hooy, C.-W.; Mat Som, A.P.","The influence of board diversity in human capital and social capital in crisis","Managerial Finance","","","10.1108/MF-08-2016-0226","https://www.scopus.com/pages/publications/85020228959?origin=resultslist","Purpose: The purpose of this paper is to investigate whether board diversity in human capital and social capital effectively mitigates the negative impacts of crises on firm performance. Design/methodology/approach: Cross-sectional time series data for 2001-2011 are collected from all the tourism-related public listed firms across four Asian markets. Linear and non-linear effects of board diversity on firm performance are examined. Findings: This study finds that board diversity in human capital and social capital does not significantly improve firm performance, but it significantly mitigates the negative impacts of crises striking firm performance. The effects of board diversity show difference with sudden and gradual crises. The effects of board diversity show non-linear when tackling sudden crises. Only high levels of board diversity in external network ties are effective to tackle gradual crisis. Practical implications: The best composition of board capital should depend on the external environment. Only through adopting excessively high board diversity in social capital is suitable when the firms have lower frequency of industry cycle, or prone to the crisis which is likely to sustain. Instead, a moderate level of board diversity in human and social capital is crucial if the firms are always situated in harsh circumstances such as high competition environment, or prone to face industrial bubble. Originality/value: This study directly investigates board diversity in human capital and social capital, rather than investigating through the proxy of age, gender, ethnicity, etc. This study sheds light on the influence of the board diversity in the crisis periods, the findings are enhanced with the classification of crises into sudden and gradual-onset type. © 2017, © Emerald Publishing Limited.","2017","2026-07-20 03:46:10","2026-07-20 03:46:10","","700-719","","6","43.0","","Managerial Finance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SX5L43KD","journalArticle","2017","Abor, P.A.","Examining gender diversity on hospital boards in Ghana","International Journal of Health Governance","","","10.1108/IJHG-04-2017-0016","https://www.scopus.com/pages/publications/85033386441?origin=resultslist","Purpose - The issue of gender diversity on hospital boards plays a significant role in the financial health and clinical performance of hospitals. The purpose of this paper is to examine the determinants of gender diversity of hospital boards in Ghana. Specifically, this study examined the proportion of females on hospital boards and considered how hospital-level characteristics such as hospital size, age, location and ownership structure explain the board gender diversity of hospital boards in Ghana. Design/methodology/approach - A quantitative approach based on 100 hospitals was used. Findings - The results of the study indicate that women are represented on all hospitals with governing boards but with different proportions depending on ownership form. In all, women represent less than half of board membership. Smaller and older hospitals were found to have more female representation on their board. Also, not-for-profit mission and for-profit private hospitals tend to engage more females than their counterpart public hospitals. Research limitations/implications - The study examined female representation on hospital boards depending on only hospital-level characteristics such as hospital size, age, location and ownership. Other factors could be determining the appointment of females on hospital boards other than hospital characteristics. Social implications - Efforts on improving the role of women on hospital boards need to be encouraged. Originality/value - Evidence from this study clearly suggests underrepresentation of women in the top echelons of hospitals owned by government or the state, bigger and newer hospitals. © Emerald Publishing Limited.","2017","2026-07-20 03:46:11","2026-07-20 03:46:11","","269-282","","4","22.0","","International Journal of Health Governance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QMBMWCGN","journalArticle","2014","De Anca, C.; Gabaldon, P.","Female directors and the media: Stereotypes of board members","Gender in Management","","","10.1108/GM-07-2013-0079","https://www.scopus.com/pages/publications/84926318521?origin=resultslist","Purpose: This paper aims to analyze the research in this field on the portrayal of women and the effect this has on boards and corporate image, as well as to propose a theoretical framework for further research on the effects of media stereotypes. The theoretical model aims to analyze the media’s effect on female board members, and how this helps in the process of changing stereotypes or whether it consolidates existing preconceptions. Design/methodology/approach: This paper reviews the existing literature on the subject and proposes a theoretical model for future research, contributing thus in opening a new line of research in the field of the roles of women on boards. Findings: The conclusions reached will have important consequences for the future of women on boards in relation to three fundamental issues: the types of women that join boards of directors, the type of female profile companies search for and the roles women are expected to play on those boards. Research limitations/implications: The theoretical framework developed encourages corporate governance agents, business leaders and institution to reflect on potential gender biases. Practical implications: The theoretical framework developed encourages corporate governance agents, business leaders and institutions and media agents to reflect on potential gender biases. Originality/value: An important body of literature already exists showing how the portrayal of women can reinforce or eliminate barriers to access membership of a board of directors. There is also a solid body of literature showing the media’s effect on transmitting or changing preconceived ideas about women in business, as well as the potential impact of appointing them – through the influence of different stakeholders – on a company’s image. However, there has been little substantial research carried out on the media’s effect on gender diversity on boards. © Emerald Group Publishing Limited.","2014","2026-07-20 03:46:11","2026-07-20 03:46:11","","334-351","","6","29.0","","Gender in Management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PT7LMHJI","journalArticle","2019","Sial, M.S.; Vo, X.V.; Al-Haddad, L.; Trang, T.N.","Impact of female directors on the board and foreign institutional investors on earning manipulation of Chinese listed companies","Asia-Pacific Journal of Business Administration","","","10.1108/APJBA-10-2018-0189","https://www.scopus.com/pages/publications/85073956034?origin=resultslist","Purpose: The purpose of this paper is to check the impact of female directors on the board and foreign institutional investors on earnings manipulation. Design/methodology/approach: The data sample includes Chinese listed companies on the Shenzhen and Shanghai stock exchanges. The data are collected from China Stock Market and Accounting Research database covering the period from 2010 to 2017. The authors use a dynamic generalized method of moments in the study. Findings: The findings show that the presence of female director on the board has a significant negative impact on both discretionary accruals and real earning management. However, the authors obtain different results for foreign institutional investor investors. This may be the result of myopia as the foreign institutional stockholders in Chinese companies are looking for quick profit encouraging management to manipulate earnings. the findings survive several robustness tests. Originality/value: The authors expect the research results provide ample evidence about how female directors affects earnings manipulation, and also hope the research helps to understand how, in China, institutional ownership affects earnings manipulation. © 2019, Emerald Publishing Limited.","2019","2026-07-20 03:46:11","2026-07-20 03:46:11","","288-300","","3","11.0","","Asia-Pacific Journal of Business Administration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4IQ22G2K","journalArticle","2020","Karim, S.","An investigation into the remuneration–CSR nexus and if it can be affected by board gender diversity","Corporate Governance (Bingley)","","","10.1108/CG-08-2020-0320","https://www.scopus.com/pages/publications/85100204801?origin=resultslist","Purpose: This study aims to investigate the relationship between remuneration packages [chief executive officer (CEO) and director] and independent corporate social responsibility (CSR) practices (marketplace, environment, community, workplace and money spent on CSR) of 588 Malaysian listed firms during 2006–2017. Further, the study explored the moderating effect of board gender diversity on the remuneration-CSR nexus. Design/methodology/approach: The dynamic estimator; namely, the system generalized method of moments given by Arellano and Bover (1995) has been used on the data set to control dynamic endogeneity, unobserved heterogeneity and simultaneity problems. Findings: Findings indicate a weak relationship between remuneration and CSR where prior CEO remuneration negatively influences marketplace activities, environment-related activities and workplace practices. However, directors’ remuneration leaves no effect on socially responsible activities. Moreover, board gender diversity negatively moderates the CEO remuneration-CSR relationship and an insignificant moderating effect has been observed for directors’ remuneration-CSR nexus. Practical implications: This study is particularly significant for regulatory bodies of Malaysia e.g. Securities Commission Malaysia, Bursa Malaysia, policymakers, investors and managers. For academia, this study fetches support from agency theory and overinvestment hypothesis to explain the relationships. Originality/value: This paper is novel in providing empirical evidence on the moderating effect of board gender diversity on the relationship between remuneration and independent CSR activities for the first time. Moreover, this study has sourced several theoretical and practical implications. Then, the study uses a dynamic estimator that caters to the problems of endogeneity, simultaneity and heterogeneity. © 2020, Emerald Publishing Limited.","2020","2026-07-20 03:46:11","2026-07-20 03:46:11","","608-625","","4","21.0","","Corporate Governance (Bingley)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BPGRNKBP","journalArticle","2013","Wellalage, N.H.; Locke, S.","Women on board, firm financial performance and agency costs","Asian Journal of Business Ethics","","","10.1007/s13520-012-0020-x","https://www.scopus.com/pages/publications/85126541842?origin=resultslist","This study investigates the link between female board directors and company financial performance and agency costs in Sri Lanka's publicly listed companies. In order to investigate the impact of board gender diversity on firm financial performance, a dynamic panel generalised method of moment estimation is applied. Three variables are used as proxies for gender diversity of the board of directors, namely the percentage of women on the board, a dichotomous dummy and the Blau index. A Tobit model with endogenous regressors is used to investigate the impact of female board members on agency cost, using growth opportunities as a measure of agency cost. After controlling for size, industry and other corporate governance measures, this study finds a significant negative relationship between the proportion of women on boards and firm value along with an increase in company agency cost. This evidence provides insights for governments and academic institutions in their efforts to provide resources that will help enhance women's leadership skills. © 2012, Springer Science+Business Media B.V.","2013","2026-07-20 03:46:11","2026-07-20 03:46:11","","113-127","","2","2.0","","Asian Journal of Business Ethics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WFMEMMKZ","journalArticle","2014","Giovinco, A.","Gender diversity in the boardroom. Context and Spanish case","Corporate Board: Role, Duties and Composition","","","10.22495/cbv10i3art5","https://www.scopus.com/pages/publications/84925934727?origin=resultslist","In the wake of the 2008 economic financial crisis, several corporate governance issues have became more relevant in the daily corporate life, among them Gender Diversity. Institutional investors, due to the critical environment began to scrupulously analyze the companies, in which they invest, monitoring the level of compliance with corporate governance best practices, something which has been neglected in the past. This lead to the view that companies in line with best practice were able to reduce risks and consequently become more stable enabling them to increase company value. Starting from 1977 several aspects of the gender diversity have been analyzed and several theories have been produced by experts in this field. In 1977, the author of Men and Women of the Corporation, Kanter, showed evidence of the benefits for a company to have a more balanced boardroom. In the last decade many researchers have dedicated their study on how more women directors could affect corporate value. The flow of theories can be classified in two categories. At the beginning, gender diversity was considered as simply the need to have more women on board, then and more recently as diversity of skills, expertise, culture and backgrounds. The interest for this argument has become wide spread, grabbing the attention of entities at different levels, including those in charge of regulating markets. Many European countries amended their Corporate Governance Codes and laws pushing for the increase of women on boards. With the intensification of different regulations, the European Commission issued a regulation, with the aim of encouraging higher participation of women at board level. Their aim was also to align all European countries rules, conscious of the relevance for companies operating in the same European environment, to work in a global market with common rules. The increased attention towards gender diversity also partly derived from the actions of proxy advisors and institutional investors. All European countries implemented their regulations at different levels, giving suggestions of targets to be reached through their corporate governance codes or through laws, as far as establishing punitive measures in case of failure to reach the established target on time. The present paper focuses on the Spanish market, an interesting jurisdiction because of the methods implemented and the progress witnessed at company level to reach the proposed targets. From 2007 to 2013 the percentage of women on boards passed from 5,78% to 14,56%. Significant the progress done in the last six years and, at the same time there is evidence that Spain moved earlier towards a balanced boardroom at legislative level, but without eliminates strong impact at corporate level except in very few cases. Country regulations did not have an effective impact on the level of women serving on boards at executive and non-executive levels due to the particular market structure. Directors can serve on the board for twelve years maintaining the status of independent director and frequently directors are re-appointed for many subsequent years. Furthermore there is not any rule for the number of boards in which a director can serve. Due to this many directors participate in more than one company board. This together with the twelve years of board tenure is obstacles to the increase of women participating to the board life. Another characteristic of the Spanish market that limits female presence on the boardrooms is the strong presence of families controlling the market. In this case many seats are covered by family representatives. This practice does not leave, much space, for external candidates to seat on the board and consequently limits the presence of women on boards. A stronger level of compliance with gender diversity is more evident from the perspective of mix of background and expertise. This level increased by 29,33% during the period considered in this study (from 2007 to 2013) and reaching 30,79% in 2013. A board that experiences a good balance in gender mix and international directors together with experts in transversal fields bring to the board expertise and knowledge to develop the company business in a more proficiency direction. This is considered to be the right recipe to enhance on corporate governance and avoid risks that could affect company value. Once more in Spain main shareholders or founding families are an obstacle to the circulation of new experience and ideas, able to ensure that the board is provided with the adequate people to take better decision in the company’s interest. Moreover, all board members have a background, in terms of academic qualifications, in line with the business of the company while there is a lack of transversal expertise. The current Spanish situation shows that regulations at local or European level are not enough to reach a balanced boardroom for gender and professional profile of board diversity. Neither of the regulations coming from the European Commission and the Spain are considered punitive measures in case of no compliance. Records provided by Catalyst at the beginning of March 2014, highlight that Norway is the country with the highest level of compliance with 40,90% of board seats held by women1. Norway can be considered an example of how mandatory quota rules can work for companies. Spain could reach a high level of compliance by adopting restrictive measures, in this case, neither those characteristic elements as the Directors’ tenure or family owners, could limit or reduce the effectiveness of the measures proposed. © 2014 Virtus Interpress. All Rights Reserved.","2014","2026-07-20 03:46:11","2026-07-20 03:46:11","","60-76","","3","10.0","","Corporate Board: Role, Duties and Composition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XJX393IZ","journalArticle","2018","Báez, A.B.; Báez-García, A.J.; Flores-Muñoz, F.; Gutiérrez-Barroso, J.","Gender diversity, corporate governance and firm behavior: The challenge of emotional management","European Research on Management and Business Economics","","","10.1016/j.iedeen.2018.07.001","https://www.scopus.com/pages/publications/85051711054?origin=resultslist","This work aims to explore the status of gender diversity in corporate governance and its implications to corporate performance and emotional intelligence. With this purpose, the role of women in leading modern corporations and the pending gaps in equality were analyzed. Tourist corporations composed the sample of firms, due to its growing economic impact in a post-global financial crisis scenario. The study sample is comprised by the 118 companies listed at the STOXX® Global 3000 Travel & Leisure. Financial and corporate governance data provided by Reuters.com, were used for the period ending 2017. Additional data on corporate governance of each entity were gathered from official corporate website of each firm. We designed ad hoc indicators for gender diversity, along with differences in salary and seniority. Special attention was paid to the specific position held by women in each board, and its relationship to emotional intelligence, as a first step to a full research agenda. The results suggested very relevant gap in the three analyzed dimensions: presence, salary and seniority. Women tend to be focused only on several corporate tasks like those related to marketing and human resources management. This bias, which in a first view can be considered an additional manifestation of gender gap, is at the same time an opportunity to link modern corporations to a new style of management in which approaches like emotional intelligence could play a most prominent role. This research contributes in two different ways: (1) it demonstrate the enormous gap still existing between men and women at the top of tourist organizations worldwide and (2) it suggests several research pathways given the type of gender gap detected. © 2018 AEDEM","2018","2026-07-20 03:46:11","2026-07-20 03:46:11","","121-129","","3","24.0","","European Research on Management and Business Economics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PRUH4DBM","journalArticle","2013","Lazzaretti, K.; Godoi, C.K.; Camilo, S.P.O.; Marcon, R.","Gender diversity in the boards of directors of Brazilian businesses","Gender in Management","","","10.1108/17542411311303239","https://www.scopus.com/pages/publications/84874574608?origin=resultslist","Purpose: This study aims to analyse the gender composition of the 99 most liquid Brazilian companies listed in the Brazilian stock exchange (BM&FBovespa) in 2011. It proposes a discussion about gender inequality in Brazilian companies and provides data, made available for the first time to national and international literature, on gender composition in Brazilian boards. Design/methodology/approach: This is a quantitative study, whose data were collected from the Annual Report of Corporate Governance of Listed Companies 2011 prepared by the Capital Aberto magazine on the makeup of the boards of the 100 most liquid Brazilian publicly traded companies. Descriptive multivariate regression tests were carried out to refine these findings. Findings: The results show that only 5.4 per cent of the positions in the boards of these companies are occupied by women. Firms that have been listed for longer in the stock market and have more seats in their boards are more likely to have women directors in these boards, suggesting gender inequality in the 99 companies surveyed. Research limitations/implications: This study has a limitation with regards to the type of female board members in the sample. In other words, the authors were unable to determine if they were external or internal to the companies. Practical implications: The study discusses gender inequality in Brazilian companies and contributes to the debate on a governmental proposal to adopt quota legislation to increase the number of women in boards of directors. Originality/value: This study fulfils an identified need to know more about the gender composition of Brazilian boards. © Emerald Group Publishing Limited.","2013","2026-07-20 03:46:11","2026-07-20 03:46:11","","94-110","","2","28.0","","Gender in Management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UA66BFDJ","journalArticle","2020","Manita, R.; Elommal, N.; Dang, R.; Houanti, L.","Does board gender diversity affect firm performance? Evidence from the French SMEs","International Journal of Entrepreneurship and Small Business","","","10.1504/IJESB.2020.111580","https://www.scopus.com/pages/publications/85097372888?origin=resultslist","In the contemporary business world, the diversity of boards in terms of gender has been examined by many researchers and those responsible for public policy. Although many studies have assessed the correlation between how a company performs financially and the gender diversity of its board, this research has tended to focus on larger companies and the results have been inconclusive. This paper will re-examine key elements of the existing discourse by focusing on a selection of small and medium-sized enterprises (SMEs) in France between 2009 and 2014. Panel data and the two-stage least squares (2SLS) methodology was employed to assert empirical control over both the significance and direction of the correlation between the financial performance of an organisation and the diversity of its board. Unlike the literature, in our study of French SMEs, we found no notable correlation between how a company performs financially and how diverse its board is in terms of gender. This paper will examine the benefits firms can access by ensuring the gender diversity of their respective boards. Copyright © 2020 Inderscience Enterprises Ltd.","2020","2026-07-20 03:46:11","2026-07-20 03:46:11","","584-603","","4","41.0","","International Journal of Entrepreneurship and Small Business","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NPKPS4MN","journalArticle","2009","Metz, I.; Harzing, A.-W.","Gender diversity in editorial boards of management journals","Academy of Management Learning and Education","","","10.5465/AMLE.2009.47785472","https://www.scopus.com/pages/publications/71949110091?origin=resultslist","Our study examines women's representation in editorial boards in management over a 15-year period viz à viz their representation as authors. It uses secondary data from 57 journals covering approximately 10,000 editorial board members and nearly 10,000 articles. The results show that women continue to be under-represented in editorial boards in relation to their representation as first authors of articles published in those journals. Three factors explain the under-representation of women in editorial boards: the field of study, the journal's prestige, and the editor's gender. The persistent gender imbalance in the editorial boards of many management journals in the last 15 years hinders women's ability to attain scholarly recognition and advancement and carries the risk of narrowing the nature and scope of the enquiry in management. © Academy of Management Learning & Education.","2009","2026-07-20 03:46:11","2026-07-20 03:46:11","","540-557","","4","8.0","","Academy of Management Learning and Education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IC3TFSXY","journalArticle","2017","Ahmed, A.; Ali, S.","Boardroom gender diversity and stock liquidity: Evidence from Australia","Journal of Contemporary Accounting and Economics","","","10.1016/j.jcae.2017.06.001","https://www.scopus.com/pages/publications/85020509028?origin=resultslist","In this study, we investigate the relationship between gender-diverse boards and stock liquidity in Australia. We expect that the gender-diverse boards, with their efficient monitoring functions, lead to higher stock liquidity that has positive implications for market efficiency. Consistent with the notion, we find, using 944 Australian firms from 2008 to 2013, that boardroom gender diversity is significantly and positively associated with stock liquidity. Our findings are robust to a series of endogeneity checks and to alternative proxies for gender diversity and stock liquidity. Our results reject the assumption of women on the board as ‘tokens’ and also provide support to critical mass theory. We contribute to the global debate on the need for more women on corporate boards and provide comprehensive and robust evidence that suggests that having women on corporate boards is positively associated with one of the important characteristics of capital market efficiency, stock liquidity. © 2017 Elsevier Ltd","2017","2026-07-20 03:46:11","2026-07-20 03:46:11","","148-165","","2","13.0","","Journal of Contemporary Accounting and Economics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J37U9EBF","journalArticle","2012","Fitzsimmons, S.R.","Women on boards of directors: Why skirts in seats aren't enough","Business Horizons","","","10.1016/j.bushor.2012.07.003","https://www.scopus.com/pages/publications/84867895289?origin=resultslist","Most organizations focus their attention on simply achieving gender diversity on their boards. This approach misses the point. A complex relationship exists between board gender diversity and good governance whereby such diversity can have a negative, positive, or neutral impact on organizational performance, indicating that organizations may only reap the benefits of gender-diverse boards under proper conditions. This article examines which conditions allow gender-diverse boards to flourish and which conditions lead to failure. Organizations usually increase female representation on boards of directors to achieve one of two goals: gender parity or improved governance. Each of these goals is influenced by different circumstances and thus must be approached in a unique manner. Three recommendations are offered herein for organizations trying to achieve each goal. Gender, ethnic, and cultural board diversity all share related justifications and challenges, so organizations that follow the recommendations in this article will be well positioned to benefit from all three sources of increased diversity on their boards of directors. © 2012 Kelley School of Business, Indiana University.","2012","2026-07-20 03:46:11","2026-07-20 03:46:11","","557-566","","6","55.0","","Business Horizons","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D8GAXMYH","journalArticle","2016","AL-Dhamari, R.A.; Ku Ismail, K.N.I.; Al-Gamrh, B.A.","Board diversity and corporate payout policy: Do free cash flow and ownership concentration matter?","Corporate Ownership and Control","","","10.22495/cocv14i1c2p9","https://www.scopus.com/pages/publications/85020085288?origin=resultslist","This study investigates the effect of board diversity in terms of gender and ethnicity on dividend payout policy when a firm has free cash flow agency problem. It also tests whether the probability of diverse boards would minimize free cash flow agency problem through making large dividend payments is more pronounced in firms with high ownership concentration. We find that our results differ based on how corporate dividend policy is measured, and vary by the level of free cash flows and ownership concentration. More specifically, we find that women’s (Malays’) presence on boards has positive impact on dividend yield (dividend payout), and this effect conditional on the level of free cash flows generated by firms. Our results also show that the role of female and Malay directors in forcing controlling shareholders of firms with substantial free cash flows to cash out the firms’ resources through making higher dividend payments is more prominent when the firms’ ownership structure is concentrated in the hand of largest shareholders. The findings of our study, to some extent, support the government calls for increasing the number of women participation on corporate boardrooms and the participation of Malays in corporate sector. © 2016, Virtus Interpress. All rights reserved.","2016","2026-07-20 03:46:11","2026-07-20 03:46:11","","373-383","","1Continued2","14.0","","Corporate Ownership and Control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JLWL85MV","journalArticle","2017","Syamsudin, S.; Setiany, E.; Sajidah, S.","Gender diversity and firm value: A study on boards of public manufacturing firms in Indonesia","Problems and Perspectives in Management","","","10.21511/ppm.15(3-1).2017.11","https://www.scopus.com/pages/publications/85042636541?origin=resultslist","This study aims to analyze the effect of gender diversity in both the Board of Commissioners and Board of Directors, as well as the effect of education background of the President Commissioner on the firm value. Gender diversity is measured from the proportion of women in Board of Commissioners and Board of Directors, while the education background is measured by the education background of the President Commissioner. In this research, the firm value is measured by Tobins Q. The sample used in this study consist of 70 manufacturing companies listed in Indonesian Stock Exchange in the year 2012. This study employs multiple linear regression to draw the research results. The analysis results show that gender diversity in both the Board of Commissioners and Board of Directors significantly affects firm value. On the contrary, the education background of the President Commissioner does not affect firm value. This result support the argument that diversity of boards will, through various ways, affect firm financial value in the long and short term. © Syamsudin Syamsudin, Erna Setiany, Sajidah Sajidah, 2017.","2017","2026-07-20 03:46:11","2026-07-20 03:46:11","","276-284","","3","15.0","","Problems and Perspectives in Management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZPCRYJ3K","journalArticle","2018","Heller, L.; Gabaldon, P.","Women on boards of directors in Latin America: building a model","Academia Revista Latinoamericana de Administracion","","","10.1108/ARLA-04-2017-0112","https://www.scopus.com/pages/publications/85047060644?origin=resultslist","Purpose: Through an analysis of 15 Latin American countries, the purpose of this paper is to explore the importance of several institutional variables (economic, regulatory, and cultural), which affect women’s careers towards being members of boards of directors in the region. Design/methodology/approach: Based on primary and secondary information, the authors carry out multivariate analyses to understand the institutional reasons affecting the reduced presence of women on boards of directors in the region. Findings: Their findings reveal differences within the region, the importance of protecting women’s professional careers in the labour market, and the effect of cultural dimensions, such as masculinity and power distance. Research limitations and implications: The analysis provides an updated cross-section of the institutional and cultural conditions of the 15 countries, considering the limitations to developing data in the region. Practical implications: Latin America has witnessed important changes in the dynamics of the labour market over recent decades: women’s participation in the labour force is on the increase, and corporate strategy is evolving towards the incorporation of practices and initiatives to manage the diversity of their talents. However, the presence of women in leadership positions is a pending subject. This study, in part, reveals the institutional origin of gender inequality on boards of directors in the region. The analysis provides essential tools for public policy and for companies to help promote female leadership in the region. Originality/value: Recent debate and research on the scarce participation of women on corporative boards of directors have revealed a growing interest in analysing the causes of such issues despite the progress recorded in terms of gender equity in most societies. Studies on the topic in Latin America are scarce and the aim of this paper is to help to fill part of this gap. © 2018, Emerald Publishing Limited.","2018","2026-07-20 03:46:11","2026-07-20 03:46:11","","43-72","","1","31.0","","Academia Revista Latinoamericana de Administracion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46HDPG4F","journalArticle","2020","Jebran, K.; Chen, S.; Zhang, R.","Board diversity and stock price crash risk","Research in International Business and Finance","","","10.1016/j.ribaf.2019.101122","https://www.scopus.com/pages/publications/85074514833?origin=resultslist","We show how board diversity influences stock price crash risk. By classifying board diversity into relation-oriented diversity (gender and age) and task-oriented diversity (tenure and education), we find that greater diversity on board can lower the risk of future stock crash. Additional analyses show that the effect of board diversity on future crash risk is stronger for firms with high information opacity and low institutional ownership. Overall, our findings provide new insights and suggest for more diverse boards to improve corporate governance practices. © 2019 Elsevier B.V.","2020","2026-07-20 03:46:11","2026-07-20 03:46:11","","","","","51.0","","Research in International Business and Finance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YVWMDBH9","journalArticle","2014","Jane Lenard, M.; Yu, B.; Anne York, E.; Wu, S.","Impact of board gender diversity on firm risk","Managerial Finance","","","10.1108/MF-06-2013-0164","https://www.scopus.com/pages/publications/84996560135?origin=resultslist","Purpose – The purpose of this paper is to study gender diversity on the board of directors and the relation to risk management and corporate performance as measured by the variability of stock market return. Design/methodology/approach – The sample consists of companies from the RiskMetrics database from 2007 to 2011. This database contains information on corporate board of directors. Financial variables were collected from the Compustat database and CRSP database for the years 2005-2011. The authors then measure the effect of gender diversity on corporate performance in terms of firm risk, using the model by Cheng (2008) which measures the variability of stock market return. Findings – The study shows that more gender diversity on the board of directors impacts firm risk by contributing to lower variability of stock market return. The higher the percentage of female directors on the board, the lower the variability of corporate performance. Originality/value – The research design and findings assist in providing additional evidence about the role of women in corporate leadership positions and the association with corporate performance. The approach combines Cheng's (2008) model of stock market variability with the impact of gender diversity on the board of directors. © 2014, © Emerald Group Publishing Limited.","2014","2026-07-20 03:46:11","2026-07-20 03:46:11","","787-803","","8","40.0","","Managerial Finance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
